(0.9220102159919222,1.212225963145022)
(0.7546653945647654,1.326592888777843)
(0.6907283043459869,1.459175942514407)
(0.9335315859332797,1.0712010338678255)
(1.0,1.0)
(0.802595391168487,1.2459578151129356)
(0.32261945101256906,3.31027301657829)
(0.6036326665695994,1.9784443642881215)
(0.48353404742055267,2.2342489553755613)
(0.21632943344675828,5.080804880644231)
(0.3049601640227258,3.761922834821452)
(0.26229954705305336,3.8124351003844374)
(1.0,1.0)
(0.28089575797930744,4.115041153606902)
(0.43012167989540007,2.4474348942437945)
(0.592299827341584,1.6883341068801156)
(0.6601278416166864,1.5148580880196623)
(0.8955088295763264,1.1166835735981624)
(0.891166670865652,1.2832746712769134)
(0.4426909371896708,2.2589122929606087)
(1.0,1.0091671455425288)
(0.49552049996006586,2.0535169654840626)
(0.1,10.097035631902456)
(1.0,1.1063913784335688)
(0.6736218776271411,1.4845123550953219)
(0.5952536665407313,1.7018498957284378)
(0.9400508216811665,1.107643684148392)
(1.0,1.0988741239738864)
(0.30428817831549027,3.3913467418238126)
(0.6966333085079993,1.4354754327520318)
(0.867744936764523,1.1524123709999434)
(0.9501281494680652,1.153860531861322)
(0.9016603169596312,1.1090651115399721)
(0.37590582832057545,2.908200233971351)
(0.5377775498797348,2.0167304272357214)
(0.7185506810623514,1.4482455125064286)
(0.2927356337928929,3.8107975253737223)
(0.4950482033836467,2.2105051088670353)
(0.19229984130211084,5.200212299858113)
(0.9025162742362207,1.1080132608647724)
(0.25841399181771196,3.8697595008919285)
(0.4974884640434193,2.3023254613463413)
(0.2324019532866265,4.669771028190279)
(0.2856533873618076,3.6043674989165795)
(0.8838582420074756,1.1314031509495637)
(0.49484795036452267,2.0208227583106373)
(0.9805912559381254,1.0269485976101789)
(1.0,1.1486618796033081)
(0.1,10.0)
(0.12537815462209773,8.823836129789118)
(1.0,1.0284277803796638)
(0.9559326782707902,1.0460987711068988)
(0.7612176410580511,1.3136847414755843)
(0.4897263452071331,2.3709014935650936)
(0.7052741892862252,1.654542318532359)
(0.9348042621783,1.0742714539462608)
(0.3198574803380475,3.2478504219034705)
(0.287201427411542,3.835281868863096)
(1.0,1.081300732471268)
(0.5939052526563314,1.724788582499584)
(0.8922536440531649,1.1207575409357646)
(0.3653564220489366,2.83044314554297)
(0.9231412222510845,1.0832578763642413)
(0.4464572136306364,2.239856294106878)
(0.6348224566355972,1.7905457764764783)
(0.6290788800452707,1.589625771458162)
(0.6404650550156923,1.56136543620713)
(0.9024632449719286,1.1750183749639904)
(0.4208208342535331,2.376308201978249)
(0.5415224017011238,1.8466456731219747)
(0.1,10.0)
(0.910382435757548,1.199131898089564)
(0.31246143224042344,3.5388775042553897)
(0.5558003847066879,1.7992071029740815)
(1.0,1.0903377818814226)
(0.5506779277385982,1.899939067046055)
(1.0,1.0921391818857757)
(0.8861075413317331,1.2257376169070464)
(0.7017181015297775,1.4250736838909446)
(0.5237537569321907,1.90929418026011)
(0.1,10.0)
(0.2690144202928196,3.9649601147165554)
(0.26492195975240285,3.774696521702482)
(0.4710650103381272,2.1228492417261196)
